Категория,Тезис,Группа,Тип,Метрика,Описание,Методика расчёта,Эталон,Трактовка отклонения,Источник,Источник трактовки
1. Стратегия и управление,Показывают управляемость ИТ и связь с целями бизнеса.,1. Управленческая нагрузка,Финансовый,Административные затраты PMO,"Лимит на управленческие и административные расходы (не разработка, не инфраструктура) в проекте. Это максимально допустимое значение.",Административные расходы проекта / Общий бюджет проекта × 100%,≤10% бюджета проекта,Рост выше эталона означает неэффективность и требует финансового аудита.,UK Gov Admin Costs Guidance,UK Gov Admin Costs Guidance
1. Стратегия и управление,Показывают управляемость ИТ и связь с целями бизнеса.,1. Управленческая нагрузка,Операционный,Доля времени команды на администрирование,"Процент рабочего времени ИТ-команды, уходящий на согласования, отчёты и документирование вместо разработки или эксплуатации.",Часы на адм. задачи / Общий фонд рабочего времени × 100%,<30%,проблемная зона: >40%,PMO / IPM 2025,PMO / IPM 2025
1. Стратегия и управление,Показывают управляемость ИТ и связь с целями бизнеса.,1. Управленческая нагрузка,Финансовый,Доля расходов на управление в бюджете проекта,"Доля затрат на управление проектом (PMO, руководители, отчётность) в общем бюджете проекта.",Затраты на управление проектом / Общий бюджет проекта × 100%,6–10% (max 15% для сложных),Превышение 15% требует обоснования.,PMI / Kerzner 2022,PMI / Kerzner 2022
1. Стратегия и управление,Показывают управляемость ИТ и связь с целями бизнеса.,1. Управленческая нагрузка,Операционный,Доля руководителей в ИТ-персонале,Процент менеджеров и руководителей от общей численности ИТ-команды.,Число руководителей / Общая численность ИТ-персонала × 100%,8–12%,Высокий показатель сигнализирует о бюрократизации структуры.,MSH Talent 2026,MSH Talent 2026
1. Стратегия и управление,Показывают управляемость ИТ и связь с целями бизнеса.,1. Управленческая нагрузка,Операционный,Норма управляемости,Среднее число прямых подчинённых на одного руководителя.,Общая численность ИТ-персонала / Число руководителей,5–10 подчинённых на 1 менеджера,Узкий охват (<5) = избыток менеджеров; широкий (>12) = перегрузка и потеря контроля.,Общая практика управления,Общая практика управления
1. Стратегия и управление,Показывают управляемость ИТ и связь с целями бизнеса.,11. ИТ-ROI и ценность инвестиций,Финансовый,Время до первого результата,Срок от запуска ИТ-проекта до получения первого измеримого бизнес-результата.,Дата первого зафиксированного бизнес-результата − Дата старта проекта,<6 мес. (операционные проекты); <12 мес. (трансформационные),"Срок от запуска ИТ-проекта до получения первого измеримого бизнес-результата (экономия, рост выручки, снижение рисков). целевой: <6 мес. для операционных изменений",DaydreamSoft 2025,DaydreamSoft 2025
1. Стратегия и управление,Показывают управляемость ИТ и связь с целями бизнеса.,11. ИТ-ROI и ценность инвестиций,Финансовый,Рентабельность ИТ-инвестиций (ROI),Отношение полученной финансовой выгоды от ИТ к затратам. Ключевой показатель обоснования ИТ-бюджета перед бизнесом.,(Выгоды от ИТ − Затраты на ИТ) / Затраты на ИТ × 100%,ITFM Forrester TEI: ROI 270% за 3 года,Отклонение от эталона требует анализа и корректирующих мер.,DaydreamSoft 2025,DaydreamSoft 2025
1. Стратегия и управление,Показывают управляемость ИТ и связь с целями бизнеса.,11. ИТ-ROI и ценность инвестиций,Финансовый,Степень реализации запланированных выгод,"Процент запланированных при старте проекта бизнес-выгод, фактически достигнутых через 6–12 месяцев после внедрения.",Фактически реализованные выгоды / Запланированные выгоды × 100%,>80%,целевой: >80% выгод реализовано. целевой: >80% выгод реализовано,DaydreamSoft / PMI 2025 (рынок: 60–70% проектов не проходят ревью),DaydreamSoft / PMI 2025
1. Стратегия и управление,Показывают управляемость ИТ и связь с целями бизнеса.,11. ИТ-ROI и ценность инвестиций,Финансовый,Ценность снижения риска,Денежная оценка предотвращённых потерь от ИТ-рисков благодаря инвестициям.,Потенциальные потери × Вероятность риска × Коэффициент снижения вероятности после инвестиции,Обосновывается индивидуально,"Денежная оценка предотвращённых потерь от ИТ-рисков (инциденты, простои, нарушения безопасности) благодаря ИТ-инвестициям.",DaydreamSoft 2025,DaydreamSoft 2025
1. Стратегия и управление,Показывают управляемость ИТ и связь с целями бизнеса.,11. ИТ-ROI и ценность инвестиций,Финансовый,Экономия от автоматизации,Измеряется в абсолютных единицах и в % от базовых затрат.,Базовые затраты на процесс − Затраты после автоматизации = Экономия; Экономия / Базовые затраты × 100%,20–60%,Снижение операционных затрат за счёт автоматизации ручных ИТ-процессов,DaydreamSoft 2025 (типичный диапазон по процессу),DaydreamSoft 2025
1. Стратегия и управление,Показывают управляемость ИТ и связь с целями бизнеса.,2. Соотношение ИТ-персонала,Операционный,Коэффициент инфраструктурного персонала,"Число пользователей на одного специалиста по инфраструктуре (серверы, сеть, хранилища).",Число пользователей / Число инфраструктурных специалистов,1:125,Выход за границы диапазона — сигнал дисбаланса ресурсов.,MSH Talent 2026,MSH Talent 2026
1. Стратегия и управление,Показывают управляемость ИТ и связь с целями бизнеса.,2. Соотношение ИТ-персонала,Операционный,Коэффициент разработчиков приложений,Число пользователей на одного разработчика приложений.,Число пользователей / Число разработчиков,1:250,Выход за границы диапазона — сигнал дисбаланса ресурсов.,MSH Talent 2026,MSH Talent 2026
1. Стратегия и управление,Показывают управляемость ИТ и связь с целями бизнеса.,2. Соотношение ИТ-персонала,Операционный,Коэффициент специалистов по безопасности,Число пользователей на одного специалиста по информационной безопасности.,Число пользователей / Число ИБ-специалистов,1:500,Выход за границы диапазона — сигнал дисбаланса ресурсов.,MSH Talent 2026,MSH Talent 2026
