дата,канал,ссылка,summary,source_url
2026-06-19T08:54:35+00:00,b1_news,https://t.me/b1_news/3505,"В эфире программы «Что это значит» на РБК-ТВ Илья Сухарников, партнер отдела консультирования в сфере недвижимости, строительства и развития территорий Группы компаний Б1, рассказал о возможных причинах задержек передачи новостроек покупателям.  📎Подробнее смотрите в разделе «Ролики» на нашем сайте, а полная версия эфира уже доступна по ссылке.",https://t.me/b1_news/3505
2026-06-18T14:02:17+00:00,b1_news,https://t.me/b1_news/3504,"Революция ауторсинга: результаты исследования Б1⚡   Б1 совместно с профессором РАНХиГС Дмитрием Стапраном представила исследование, основанное на анализе финансовых показателей 55 тысяч российских компаний с выручкой от 500 млн до 20 млрд руб. за 2018-2025 годы.   📎Среди ключевых выводов:   ▶️Аутсорсинг сегодня выходит далеко за рамки инструмента сокращения затрат и уже является доминирующей моделью организации бизнеса: его доля в российской экономике в среднем составляет 70-80%, а в зависимости от отрасли варьируется от 40 до 90%.   ▶️Компании, использующие аутсорсинг (""чемпионы""), растут быстрее. Среднегодовой рост их выручки составляет около 16% против 10% у компаний, предпочитающих выполнять большинство функций собственными силами (""сделай сам"").   ▶️Передача непрофильных функций внешним подрядчикам позволяет компаниям сосредоточиться на ключевых компетенциях, что положительно влияет на производительность труда и оперативную эффективность.   ❗Выручка на сотрудника у «чемпионов» - 29 миллионов рублей против 5 у «сделай сам»   ▶️«Чемпионы» аутсорсинга демонстрируют более высокие показатели рентабельности капитала и активов (7,6% ROA против 4,4% у «сделай сам»)х, а также эффективнее используют имеющиеся ресурсы.   ▶️Аутсорсинг способствует снижению капиталоемкости бизнеса, компании могут масштабироваться быстрее, не увеличивая пропорционально инвестиции в инфраструктуру и основные средства (доля основных средств в активах 4% против 18% у ""сделай сам"").   Наиболее выраженный положительный эффект от использования аутсорсинга наблюдается в образовании, здравоохранении, электроэнергетике и ЖКХ, транспорте и логистике, консалтинге, сельском хозяйстве и строительстве.   В современных условиях аутсорсинг становится важным фактором формирования устойчивых конкурентных преимуществ, повышения эффективности и ускорения роста бизнеса  Подробнее об отчете, а также о том, как правильно использовать аутсорсинг - смотрите на сайте Б1, а также в материале «Известий» ✅",https://t.me/b1_news/3504
2026-06-18T12:18:04+00:00,b1_news,https://t.me/b1_news/3503,"Бизнес стал чаще сталкиваться с корпоративным мошенничеством внутри компании – Forbes  По итогам 2025 года о таких случаях сообщили 35% предприятий против 28% в 2022-м, свидетельствует исследование «Актион Финансы». Причем доля компаний, которые столкнулись с воровством своих же сотрудников, за три года выросла вдвое. Это связано как с повышением эффективности выявления схем, так и с увеличением рисков, когда бизнес быстро меняет процессы, а контроль не успевает адаптироваться, говорят эксперты.   «Рост доли компаний, столкнувшихся с корпоративным мошенничеством, связан как с улучшением механизмов выявления, так и с объективным увеличением рисков. Компании вынуждены быстро менять процессы, а система контроля не всегда успевает адаптироваться. Дополнительные риски создает появление новых посредников, поставщиков и логистических цепочек, которые многим компаниям в последние годы приходилось выстраивать практически с нуля. Это увеличивает вероятность конфликтов интересов, сговоров и коррупционных схем»,  – пояснил Денис Королёв, партнер Б1 и руководитель отдела Форензик.  📎Подробнее читайте в новом материале Forbes и в разделе «Комментарии» на сайте Б1.",https://t.me/b1_news/3503
2026-06-20T10:29:35+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3334,"Более 20 ИИ-решений созданы в рамках ИИ-хакатона AXENIX!  Сотрудники AXENIX продемонстрировали блестящие навыки разработки ИИ-агентов. Соревнования проходили в 2 этапа: сначала команды придумывали свои идеи по решению реальных рабочих задач с помощью ИИ, а затем 8 лучших боролись за ценные призы в оффлайне.  В финале создание ИИ-агентов на базе Numira велось по четырем направлениям:  ➊ агент для создания презентаций, ускоряющий процесс до 60%; ➋ агент для подготовки коммерческих предложений, позволяющий пройти путь от ТЗ до готового КП за несколько часов; ➌ агент для эффектной визуализации данных и эффективного бизнес-анализа; ➍ агент для сбора информацию о статусе текущих задач, их прогрессе и рискам, способный подготовить отчет за 10 минут и сгенерировать разные версии с учетом ЦА.  Помимо основного задания участники разрабатывали дополнительных ассистентов и создавали MCP-подключения.   🏆Победила команда Никели Норильска! Поздравляем Анну Кириченко, Илью Константинова, Павла Байбуса, Антона Базанова и Василия Павлова — ваше решение покорило жюри из числа руководителей практики Data&AI.  Благодарим всех участников за блестящие идеи и еще раз аплодируем вашей вовлеченности, готовности выходить за рамки своих обязанностей и находить время для развития! Лучшие решения обязательно будут интегрированы в реальные бизнес-процессы AXENIX.  И конечно, нельзя не отметить, что хакатон еще раз подтвердил огромный потенциал Numira для создания ИИ-ассистентов, способных на практике повышать эффективность работы по самым разным направлениям.  Хотите познакомиться с Numira? Заходите на наш сайт, чтобы узнать больше и посмотреть демо!  #AXteam #AXai  🔥 AXENIX: Telegram | MAX | ВК",https://t.me/Axenix_Ru/3334
2026-06-19T16:22:12+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3333,"Благодарим всех, кто присоединился к нам на вебинаре «Как управлять трейд промо и считать эластичность в одной системе»!  Вместе мы обсудили:   🔸 Возможности модуля In.Plan Трейд Промо 🔸 Как рассчитать инкрементальный эффект, P&L промо по клиенту и SKU и оценить реальный вклад акции в бизнес-результат 🔸 Как рассчитать ценовую эластичность на данных клиента, не используя внешние бенчмарки 🔸 Как учесть кросс-эластичность и каннибализацию в период акции 🔸 Какие математические модели используются в модуле Трейд Промо  А также посмотрели демо работы модуля, чтобы узнать, как происходит полный цикл работы с промо в In.Plan — от планирования и расчета прогноза до анализа завершённой акции.  Вы можете посмотреть запись вебинара в нашем посте, в ВК Видео или на сайте AXENIX. А если у вас останутся вопросы, мы всегда будет рады ответить!  Желаем приятного просмотра!  #AX_InPlan  🔥 AXENIX: Telegram | MAX | ВК",https://t.me/Axenix_Ru/3333
2026-06-19T15:14:10+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3332,"🎧 Новый выпуск подкаста «Двое и ритейл»  Покупатели берут воду не только из-за жажды, ИИ-примерочные обещают упростить выбор одежды, а книжные магазины снова ищут новый формат — от мини-точек до кафе и подписок.  Алексей Сидоров и Григорий Акулов разбирают для вас самые свежие новости ритейла!  👉 Полный эпизод доступен здесь: Яндекс Музыка TG-плеер Mave ВК Музыка Apple Podcasts  В этом выпуске: 🔸Почему люди покупают воду, если не хотят пить? Исследование «Кавминвод» 🔸Как Lamoda планирует развивать ИИ-примерку онлайн?  🔸Что стало причиной роста спроса на соленую рыбу, крабовые палочки и рыбные полуфабрикаты? 🔸Какие десерты чаще всего выбирают покупатели «Пятёрочки» и «Перекрёстка»? 🔸За счет чего «Буквоед» хочет покорить рынок Москвы?   🔸Смогут ли книжные кафе, подписки и мини-библиотеки спасти книжные магазины?  Включайте, чтобы быть в курсе!  #AXpodcasts #AXtwo  🔥 AXENIX: Telegram | MAX | ВК",https://t.me/Axenix_Ru/3332
2026-06-19T08:05:06+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3331,"AXENIX на «Неделе Российского Ритейла»  Приглашаем вас на экспертный разговор по трансформации ритейла под влиянием искусственного интеллекта.  📍24 июня, 14:00, Центр Международной торговли, зал «Байкал»  Антон Меркулов, директор практики AI для направления «Потребительские товары и услуги» AXENIX, вместе с приглашенными экспертами и членами «Руссофт» обсудит, как глобальная турбулентность и давление экосистем меняют правила игры для российского ритейла, где искусственный интеллект может дать реальный результат, как не наплодить «зоопарк пилотов» и соблюсти все риски и, главное, как честно измерить успех внедренных ИИ-инициатив.  Ждем вас на сессии «Ритейл-2026: вызовы глобальной неопределенности и трансформация под влиянием ИИ»!  Подробная информация об условиях участия в конференции доступна по ссылке.   Ознакомиться с программой всех выступлений можно здесь.  До встречи!  #AXretail #AXai  🔥 AXENIX: Telegram | MAX | ВК",https://t.me/Axenix_Ru/3331
2026-06-18T16:23:06+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3330,,https://t.me/Axenix_Ru/3330
2026-06-18T16:23:05+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3329,,https://t.me/Axenix_Ru/3329
2026-06-18T16:23:05+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3328,,https://t.me/Axenix_Ru/3328
